,record_id,weight,rssd9001,rssd9999,bhc_avgtradingratio,treat_3_b_avg,after_DFA_1,dep_roa1,dep_leverage,dep_lnassets,dep_creditrisk_total3,dep_cir,dep_depositratio,dep_loans_REratio,dep_liquidity,dep_cpp_bankquarter,scores,match_id
0,0,1.0,1020201,2004-09-30,0.1264535,1,0,0.0029061339000000003,0.070028253,18.610798000000003,0.013813183,0.33909735,0.39030284,0.75804251,0.044461463,0,0.6209568888316835,0
1,1,1.0,1032473,2004-09-30,0.14673795,1,0,0.0055916193000000005,0.076140024,17.80407,0.030847851000000003,0.38878143,0.10362743,0.031637631,0.13784617,0,0.9947271541027629,1
2,2,1.0,1039502,2004-09-30,0.23503859,1,0,0.0014497257999999999,0.077595092,20.852951,0.019520015,0.55989331,0.25659126,0.35411853,0.06469427,0,0.8318267040674853,2
3,3,1.0,1073757,2004-09-30,0.12290303,1,0,0.0035356073999999998,0.09104046199999999,20.808813,0.016178271,0.42328832,0.35445329999999997,0.56975836,0.036152187999999995,0,0.6516607391210408,3
4,4,1.0,1094640,2004-09-30,0.034627248,1,0,0.0040872777,0.070219912,17.158251,0.0076391557,0.60120249,0.47168347,0.78974819,0.030097767999999997,0,0.10061687376586313,4
5,5,1.0,1107205,2004-09-30,0.039911646,1,0,0.0052503343,0.11500126,14.237294,0.010389136,0.49222365,0.4620941,0.29544023,0.09085843,0,0.9444843130871827,5
6,6,1.0,1883693,2004-09-30,0.028501653999999998,1,0,0.0033584775,0.09192670900000001,16.485205,0.017999273,0.46345377,0.54914403,0.4711535,0.04078738,0,0.7452044966975759,6
7,7,1.0,1951350,2004-09-30,0.16969053,1,0,0.003747103,0.071185425,21.085511999999998,0.034623984,0.45362997,0.11273430000000001,0.36376220000000004,0.035318635,0,0.7963505734526604,7
8,13,0.25,1025608,2004-09-30,0.0006673438499999999,0,0,0.0028701955,0.11035123,17.539108,0.0091238869,0.42872468,0.46202427,0.44908494,0.046540782,0,0.8427131288734024,1
9,13,0.25,1025608,2004-09-30,0.0006673438499999999,0,0,0.0028701955,0.11035123,17.539108,0.0091238869,0.42872468,0.46202427,0.44908494,0.046540782,0,0.8427131288734024,2
10,13,0.25,1025608,2004-09-30,0.0006673438499999999,0,0,0.0028701955,0.11035123,17.539108,0.0091238869,0.42872468,0.46202427,0.44908494,0.046540782,0,0.8427131288734024,5
11,13,0.25,1025608,2004-09-30,0.0006673438499999999,0,0,0.0028701955,0.11035123,17.539108,0.0091238869,0.42872468,0.46202427,0.44908494,0.046540782,0,0.8427131288734024,7
12,14,1.0,1026801,2004-09-30,0.0,0,0,-0.00021812838,0.058420617,14.298962,0.0046082805,0.76390678,0.46030369,0.91852659,0.042825975,0,0.0808056282980933,4
13,17,1.0,1031449,2004-09-30,0.0,0,0,0.0033156659999999997,0.10145032,15.403553,0.0088947611,0.66288906,0.74196082,0.17161478,0.045776777000000005,0,0.7264437741395396,6
14,21,1.0,1049341,2004-09-30,0.0007211473399999999,0,0,0.0043657799,0.10012939,16.465457999999998,0.012223952,0.52794528,0.63430417,0.49726739999999997,0.050327033,0,0.6858031869824773,6
15,22,1.0,1049828,2004-09-30,0.010551063000000001,0,0,0.0017396767000000001,0.11774944,15.743004,0.0090467203,0.77613473,0.43846488,0.23618999,0.07332451599999999,0,0.6685915150474111,3
16,25,0.25,1059715,2004-09-30,0.0,0,0,0.0052198377,0.083122931,14.130489,0.01792188,0.38815579,0.66539156,0.4798063,0.038352106000000004,0,0.8090539269981857,1
17,25,0.25,1059715,2004-09-30,0.0,0,0,0.0052198377,0.083122931,14.130489,0.01792188,0.38815579,0.66539156,0.4798063,0.038352106000000004,0,0.8090539269981857,2
18,25,0.25,1059715,2004-09-30,0.0,0,0,0.0052198377,0.083122931,14.130489,0.01792188,0.38815579,0.66539156,0.4798063,0.038352106000000004,0,0.8090539269981857,5
19,25,0.25,1059715,2004-09-30,0.0,0,0,0.0052198377,0.083122931,14.130489,0.01792188,0.38815579,0.66539156,0.4798063,0.038352106000000004,0,0.8090539269981857,7
20,28,1.0,1067000,2004-09-30,0.0099941138,0,0,0.0028255607,0.063637257,11.942439,0.026142312,0.4503603,0.68707567,0.91128874,0.019847603999999998,0,0.10935773251496032,4
21,29,1.0,1068025,2004-09-30,0.029179877000000003,0,0,0.0028971538000000002,0.079218045,18.293829000000002,0.017798102,0.5230459,0.43293366,0.44087699,0.03413295,0,0.612743451750399,0
22,51,1.0,1085013,2004-09-30,0.0,0,0,0.0027458585999999997,0.075139575,14.150528,0.003275332,0.5498811,0.75954413,0.83922815,0.031226713,0,0.10894970039889296,4
23,68,1.0,1102312,2004-09-30,0.0,0,0,0.0045137499,0.12126376,14.606579,0.0069222162,0.47745088,0.62743503,0.51855874,0.040262379,0,0.6683793121124226,3
24,69,0.2,1102367,2004-09-30,0.00049213727,0,0,0.0036872881,0.080390438,16.107925,0.013526947,0.54994178,0.50000614,0.43992954,0.07585243900000001,0,0.806616980937166,1
25,69,0.2,1102367,2004-09-30,0.00049213727,0,0,0.0036872881,0.080390438,16.107925,0.013526947,0.54994178,0.50000614,0.43992954,0.07585243900000001,0,0.806616980937166,2
26,69,0.2,1102367,2004-09-30,0.00049213727,0,0,0.0036872881,0.080390438,16.107925,0.013526947,0.54994178,0.50000614,0.43992954,0.07585243900000001,0,0.806616980937166,5
27,69,0.2,1102367,2004-09-30,0.00049213727,0,0,0.0036872881,0.080390438,16.107925,0.013526947,0.54994178,0.50000614,0.43992954,0.07585243900000001,0,0.806616980937166,6
28,69,0.2,1102367,2004-09-30,0.00049213727,0,0,0.0036872881,0.080390438,16.107925,0.013526947,0.54994178,0.50000614,0.43992954,0.07585243900000001,0,0.806616980937166,7
29,72,0.5,1107595,2004-09-30,0.0,0,0,0.0018785491,0.097917654,12.576232000000001,0.023870016,0.60497981,0.70740396,0.47431967,0.062537171,0,0.6499550845751035,0
30,72,0.5,1107595,2004-09-30,0.0,0,0,0.0018785491,0.097917654,12.576232000000001,0.023870016,0.60497981,0.70740396,0.47431967,0.062537171,0,0.6499550845751035,3
31,80,1.0,1848003,2004-09-30,0.0,0,0,0.0044629639,0.08732060300000001,13.786010999999998,0.0012078772999999999,0.46315983,0.70855695,0.71241903,0.061366569,0,0.6075370918446306,0
